hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Road Debris,Asphalt,Clear,3548.0,1.87,55.34,0.278,9.1,0.44,1
Normal Clear,Gravel,Overcast,178.3,1.02,5.13,0.106,0.0,0.02,0
Surface Crack,Asphalt,Clear,1556.7,5.36,44.0,0.794,1.5,0.471,1
Road Debris,Asphalt,Clear,2024.0,1.81,40.41,0.314,6.8,0.386,1
Surface Crack,Asphalt,Clear,1265.5,4.53,43.82,0.653,2.0,0.492,1
Pothole,Asphalt,Clear,5884.2,1.55,73.23,0.433,15.5,0.854,1
Pothole,Concrete,Night / Low Light,3798.8,0.72,57.58,0.247,10.1,0.508,1
Pothole,Asphalt,Clear,4454.0,1.45,81.28,0.453,9.0,0.446,1
Road Debris,Gravel,Clear,1166.4,1.77,53.05,0.29,3.0,0.406,1
Surface Crack,Asphalt,Rainy,1191.5,4.17,43.14,0.651,1.4,0.436,1
Road Debris,Asphalt,Clear,4322.4,1.33,53.68,0.288,12.0,0.517,1
Normal Clear,Asphalt,Clear,194.0,0.81,11.27,0.088,0.0,0.02,0
Pothole,Asphalt,Overcast,4172.4,1.38,71.37,0.567,10.7,0.631,1
Surface Crack,Asphalt,Night / Low Light,1212.4,4.05,34.23,0.601,1.2,0.346,1
Normal Clear,Asphalt,Overcast,204.2,0.99,14.51,0.13,0.0,0.02,0
Pothole,Asphalt,Overcast,4816.5,1.03,73.61,0.376,7.5,0.408,1
Pothole,Asphalt,Night / Low Light,3294.0,0.87,70.44,0.464,10.1,0.547,1
Surface Crack,Concrete,Clear,2274.5,3.78,30.85,0.949,2.2,0.49,1
Pothole,Concrete,Night / Low Light,4884.3,1.12,83.3,0.355,12.9,0.697,1
Normal Clear,Concrete,Overcast,126.5,1.22,18.4,0.126,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,187.9,0.95,1.0,0.089,0.0,0.02,0
Road Debris,Asphalt,Rainy,2498.4,1.56,55.54,0.22,10.1,0.568,1
Normal Clear,Concrete,Clear,182.7,0.8,15.43,0.071,0.0,0.02,0
Normal Clear,Asphalt,Overcast,137.0,1.42,14.39,0.061,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4577.4,1.21,88.23,0.423,10.9,0.73,1
Normal Clear,Concrete,Overcast,123.0,0.84,10.41,0.067,0.0,0.02,0
Road Debris,Concrete,Clear,3051.0,0.88,44.22,0.321,9.9,0.432,1
Normal Clear,Asphalt,Clear,187.1,1.06,11.42,0.096,0.0,0.02,0
Normal Clear,Asphalt,Clear,194.6,0.97,8.85,0.04,0.0,0.02,0
Surface Crack,Concrete,Night / Low Light,1950.4,6.18,36.11,0.76,3.0,0.568,1
Pothole,Asphalt,Clear,5605.2,1.06,62.81,0.595,16.7,0.821,1
Pothole,Concrete,Clear,3429.0,0.27,68.62,0.524,14.6,0.664,1
Surface Crack,Concrete,Overcast,2348.4,2.71,57.93,0.554,1.9,0.411,1
Normal Clear,Concrete,Clear,136.5,0.97,11.84,0.101,0.0,0.02,0
Normal Clear,Asphalt,Overcast,319.9,1.09,12.1,0.047,0.0,0.02,0
Pothole,Asphalt,Clear,2231.9,1.55,61.44,0.628,15.9,0.759,1
Road Debris,Concrete,Overcast,2209.1,1.61,49.81,0.403,4.9,0.498,1
Surface Crack,Asphalt,Rainy,1411.3,2.39,39.01,0.754,1.2,0.461,1
Pothole,Concrete,Overcast,2728.0,1.52,61.61,0.389,12.6,0.611,1
Pothole,Asphalt,Overcast,2985.0,0.71,76.83,0.502,10.0,0.487,1
Surface Crack,Asphalt,Clear,2284.0,0.56,36.97,0.744,0.9,0.291,1
Normal Clear,Concrete,Clear,181.0,1.4,8.87,0.152,0.0,0.02,0
Surface Crack,Concrete,Clear,1730.2,5.63,47.46,0.681,2.5,0.646,1
Road Debris,Gravel,Night / Low Light,2331.5,1.91,69.54,0.271,7.8,0.513,1
Normal Clear,Concrete,Overcast,120.4,0.63,8.87,0.084,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1286.1,2.74,44.59,0.795,2.8,0.614,1
Normal Clear,Concrete,Rainy,140.6,1.17,8.7,0.065,0.0,0.02,0
Normal Clear,Concrete,Clear,49.5,0.74,19.23,0.129,0.0,0.02,0
Pothole,Asphalt,Overcast,4578.9,1.7,66.08,0.401,4.7,0.417,1
Surface Crack,Asphalt,Overcast,2076.8,4.62,44.08,0.826,3.0,0.665,1
Surface Crack,Asphalt,Clear,1217.8,2.31,46.19,0.633,1.7,0.472,1
Surface Crack,Asphalt,Rainy,1956.1,5.34,65.27,0.597,3.2,0.608,1
Pothole,Concrete,Clear,4048.3,1.29,75.01,0.523,9.7,0.582,1
Road Debris,Asphalt,Rainy,2123.3,1.67,73.33,0.253,6.7,0.521,1
Road Debris,Asphalt,Rainy,1992.1,1.26,61.55,0.315,6.0,0.559,1
Pothole,Asphalt,Clear,3110.8,1.31,74.7,0.429,14.5,0.753,1
Pothole,Asphalt,Clear,4036.8,0.93,71.0,0.225,17.0,0.811,1
Normal Clear,Asphalt,Clear,96.7,1.17,5.97,0.11,0.0,0.02,0
Pothole,Asphalt,Rainy,5041.2,0.76,69.51,0.632,14.4,0.835,1
Pothole,Gravel,Rainy,3792.9,0.82,72.75,0.411,10.2,0.6,1
Surface Crack,Asphalt,Clear,2295.1,4.34,32.09,0.644,3.3,0.682,1
Normal Clear,Asphalt,Night / Low Light,161.7,1.23,14.5,0.075,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,6122.8,0.49,92.62,0.284,10.6,0.78,1
Normal Clear,Concrete,Clear,83.8,1.16,7.93,0.061,0.0,0.02,0
Normal Clear,Asphalt,Clear,119.2,1.09,13.3,0.044,0.0,0.02,0
Pothole,Concrete,Night / Low Light,5027.9,1.14,46.15,0.385,8.2,0.616,1
Normal Clear,Concrete,Overcast,111.7,0.98,9.45,0.102,0.0,0.02,0
Surface Crack,Concrete,Clear,1627.1,3.97,46.26,0.669,3.4,0.728,1
Road Debris,Asphalt,Clear,2345.8,1.04,50.31,0.226,11.8,0.479,1
Road Debris,Concrete,Clear,2669.3,1.16,61.65,0.433,8.6,0.514,1
Road Debris,Asphalt,Rainy,1601.5,1.61,53.7,0.347,4.3,0.388,1
Pothole,Gravel,Clear,5708.8,1.21,57.63,0.547,9.2,0.538,1
Normal Clear,Asphalt,Clear,141.1,0.72,17.51,0.093,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2159.4,2.05,55.35,0.715,2.0,0.462,1
Pothole,Asphalt,Rainy,3709.9,1.02,73.74,0.374,7.2,0.309,1
Pothole,Asphalt,Clear,6215.9,1.5,70.53,0.408,4.2,0.484,1
Road Debris,Concrete,Clear,4221.4,0.97,74.84,0.345,3.5,0.391,1
Normal Clear,Asphalt,Rainy,175.1,0.84,16.85,0.077,0.0,0.02,0
Pothole,Asphalt,Clear,4555.8,1.69,59.2,0.475,12.8,0.663,1
Road Debris,Asphalt,Clear,898.1,1.93,80.05,0.273,6.7,0.441,1
Pothole,Concrete,Overcast,6625.2,1.02,60.43,0.482,6.8,0.583,1
Road Debris,Concrete,Clear,2502.8,1.73,57.38,0.329,9.2,0.615,1
Pothole,Concrete,Night / Low Light,3751.7,1.51,61.74,0.407,8.8,0.493,1
Normal Clear,Concrete,Overcast,62.8,0.79,10.7,0.086,0.0,0.02,0
Surface Crack,Asphalt,Clear,2406.2,3.31,37.94,0.506,2.8,0.669,1
Normal Clear,Asphalt,Clear,207.0,0.91,13.28,0.096,0.0,0.02,0
Pothole,Concrete,Rainy,5509.9,1.48,70.24,0.344,10.0,0.658,1
Surface Crack,Asphalt,Overcast,1389.7,3.79,45.49,0.843,0.6,0.28,1
Pothole,Asphalt,Overcast,4666.8,1.1,57.47,0.424,17.5,0.797,1
Normal Clear,Asphalt,Night / Low Light,197.1,1.04,10.59,0.144,0.0,0.02,0
Normal Clear,Asphalt,Clear,145.3,1.23,10.4,0.101,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,5613.6,1.26,39.75,0.421,12.8,0.704,1
Normal Clear,Concrete,Clear,194.6,1.35,13.92,0.087,0.0,0.02,0
Normal Clear,Asphalt,Rainy,135.5,1.11,12.52,0.057,0.0,0.02,0
Road Debris,Asphalt,Clear,2221.9,1.15,55.14,0.31,5.7,0.663,1
Road Debris,Asphalt,Clear,2656.6,1.25,38.81,0.338,11.1,0.453,1
Pothole,Concrete,Night / Low Light,2288.3,0.92,69.22,0.406,5.1,0.329,1
Pothole,Asphalt,Rainy,6245.8,0.71,91.23,0.431,4.8,0.496,1
Normal Clear,Concrete,Clear,121.4,1.25,5.68,0.068,0.0,0.02,0
Normal Clear,Concrete,Clear,134.4,1.03,4.11,0.121,0.0,0.02,0
Road Debris,Asphalt,Overcast,2872.8,1.95,71.13,0.256,6.1,0.251,1
Surface Crack,Gravel,Night / Low Light,1524.6,4.44,46.75,0.633,3.1,0.731,1
Surface Crack,Gravel,Clear,1734.7,4.85,37.1,0.481,0.6,0.403,1
Normal Clear,Concrete,Clear,110.5,1.14,10.87,0.116,0.0,0.02,0
Normal Clear,Concrete,Clear,201.1,1.04,10.64,0.109,0.0,0.02,0
Normal Clear,Asphalt,Overcast,182.3,0.86,6.69,0.071,0.0,0.02,0
Normal Clear,Asphalt,Rainy,225.8,1.23,7.55,0.045,0.0,0.02,0
Road Debris,Asphalt,Rainy,3647.2,1.05,60.09,0.263,4.2,0.472,1
Pothole,Asphalt,Rainy,5763.3,1.35,89.5,0.385,11.3,0.73,1
Pothole,Gravel,Clear,1856.5,1.13,70.96,0.33,13.2,0.571,1
Normal Clear,Asphalt,Overcast,88.1,1.24,15.35,0.101,0.0,0.02,0
Road Debris,Concrete,Rainy,2424.6,1.38,71.85,0.407,7.9,0.564,1
Pothole,Concrete,Clear,4110.2,1.46,56.22,0.365,4.5,0.41,1
Pothole,Concrete,Clear,6028.4,1.52,72.15,0.507,9.0,0.607,1
Normal Clear,Gravel,Rainy,160.4,1.09,13.69,0.032,0.0,0.02,0
Pothole,Asphalt,Overcast,3151.1,1.23,47.75,0.486,4.7,0.327,1
Pothole,Asphalt,Clear,5065.1,1.31,77.32,0.436,13.5,0.629,1
Road Debris,Asphalt,Overcast,2959.5,1.58,60.3,0.293,9.0,0.208,1
Normal Clear,Asphalt,Night / Low Light,92.8,0.77,12.87,0.118,0.0,0.02,0
Normal Clear,Asphalt,Clear,144.1,1.17,14.59,0.084,0.0,0.02,0
Pothole,Asphalt,Clear,5188.8,1.27,66.29,0.451,13.7,0.829,1
Normal Clear,Concrete,Clear,160.2,1.08,17.66,0.054,0.0,0.02,0
Pothole,Asphalt,Night / Low Light,4365.8,1.06,53.99,0.394,4.3,0.374,1
Surface Crack,Asphalt,Clear,1271.5,5.0,31.53,0.746,0.8,0.418,1
Normal Clear,Concrete,Clear,163.9,1.06,11.45,0.069,0.0,0.02,0
Road Debris,Asphalt,Rainy,5342.0,1.86,59.13,0.286,5.7,0.493,1
Normal Clear,Asphalt,Night / Low Light,142.2,0.51,15.29,0.061,0.0,0.02,0
Normal Clear,Concrete,Clear,130.1,0.79,5.84,0.124,0.0,0.02,0
Road Debris,Asphalt,Clear,3215.9,1.82,52.83,0.196,8.5,0.71,1
Pothole,Concrete,Rainy,4380.8,1.12,44.54,0.395,13.8,0.752,1
Surface Crack,Asphalt,Rainy,2262.5,4.17,48.76,0.785,0.8,0.342,1
Pothole,Concrete,Overcast,4696.0,1.64,79.66,0.316,13.0,0.799,1
Pothole,Asphalt,Clear,2371.5,1.69,70.22,0.548,6.9,0.349,1
Normal Clear,Asphalt,Overcast,221.7,0.72,10.63,0.114,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,2494.3,3.61,39.12,0.746,1.5,0.48,1
Normal Clear,Concrete,Rainy,242.8,0.9,8.48,0.089,0.0,0.02,0
Road Debris,Asphalt,Night / Low Light,3071.7,1.35,75.25,0.354,10.5,0.462,1
Normal Clear,Asphalt,Clear,153.2,0.94,7.37,0.026,0.0,0.02,0
Road Debris,Gravel,Clear,2037.3,1.86,67.56,0.371,4.5,0.594,1
Road Debris,Concrete,Night / Low Light,2058.3,1.2,66.48,0.257,4.1,0.506,1
Surface Crack,Asphalt,Rainy,1279.9,3.77,48.9,0.727,3.3,0.651,1
Pothole,Concrete,Rainy,4689.9,1.84,81.94,0.423,4.4,0.38,1
Normal Clear,Asphalt,Clear,174.2,1.05,13.52,0.12,0.0,0.02,0
Surface Crack,Asphalt,Overcast,1959.1,3.09,52.07,0.513,2.3,0.512,1
Pothole,Asphalt,Rainy,3930.7,0.92,71.7,0.479,8.6,0.476,1
Road Debris,Gravel,Clear,3135.9,1.49,49.54,0.219,8.1,0.537,1
Pothole,Gravel,Clear,4785.9,1.21,68.83,0.339,13.9,0.731,1
Normal Clear,Asphalt,Night / Low Light,132.8,1.02,10.0,0.1,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,243.5,0.85,5.34,0.02,0.0,0.02,0
Normal Clear,Asphalt,Rainy,142.5,0.87,12.83,0.084,0.0,0.02,0
Surface Crack,Gravel,Overcast,838.1,1.8,47.37,0.664,1.3,0.5,1
Pothole,Gravel,Clear,4162.2,0.93,70.99,0.327,11.1,0.635,1
Normal Clear,Asphalt,Clear,202.9,1.02,4.93,0.071,0.0,0.02,0
Surface Crack,Concrete,Overcast,2078.0,3.43,42.79,0.528,1.1,0.399,1
Normal Clear,Concrete,Overcast,227.1,0.74,6.46,0.085,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,207.5,1.11,13.21,0.071,0.0,0.02,0
Normal Clear,Asphalt,Overcast,183.8,1.17,10.97,0.052,0.0,0.02,0
Surface Crack,Asphalt,Clear,1234.7,4.77,32.65,0.818,3.2,0.596,1
Surface Crack,Concrete,Overcast,1165.5,4.49,44.07,0.671,0.9,0.402,1
Normal Clear,Concrete,Clear,107.3,0.79,8.09,0.116,0.0,0.02,0
Surface Crack,Asphalt,Clear,2038.8,2.93,51.98,0.576,2.6,0.465,1
Pothole,Gravel,Clear,2441.8,1.45,88.2,0.451,4.6,0.282,1
Road Debris,Asphalt,Clear,2252.9,1.65,46.53,0.28,4.0,0.358,1
Normal Clear,Asphalt,Clear,99.8,1.03,10.53,0.085,0.0,0.02,0
Normal Clear,Concrete,Clear,151.1,0.8,14.51,0.079,0.0,0.02,0
Road Debris,Concrete,Clear,1610.3,2.4,59.76,0.291,8.0,0.354,1
Pothole,Asphalt,Clear,5017.8,1.03,45.74,0.36,11.9,0.704,1
Road Debris,Asphalt,Rainy,1655.4,1.28,52.18,0.363,6.0,0.46,1
Normal Clear,Asphalt,Clear,93.8,0.93,15.62,0.072,0.0,0.02,0
Pothole,Asphalt,Clear,4139.5,1.11,80.16,0.523,5.9,0.427,1
Road Debris,Asphalt,Night / Low Light,2980.3,2.1,51.09,0.389,9.6,0.366,1
Normal Clear,Asphalt,Overcast,116.5,0.89,18.42,0.102,0.0,0.02,0
Normal Clear,Concrete,Night / Low Light,118.1,1.16,11.48,0.129,0.0,0.02,0
Normal Clear,Asphalt,Clear,133.3,0.69,11.25,0.07,0.0,0.02,0
Normal Clear,Concrete,Night / Low Light,82.8,1.12,17.7,0.046,0.0,0.02,0
Surface Crack,Concrete,Clear,2383.6,3.13,44.8,0.637,1.0,0.4,1
Surface Crack,Asphalt,Clear,2500.3,5.55,39.52,0.73,2.8,0.523,1
Normal Clear,Asphalt,Clear,209.1,0.77,12.6,0.111,0.0,0.02,0
Normal Clear,Concrete,Overcast,143.7,1.23,10.91,0.042,0.0,0.02,0
Normal Clear,Asphalt,Clear,168.7,1.04,22.75,0.052,0.0,0.02,0
Normal Clear,Concrete,Clear,137.4,0.85,11.43,0.075,0.0,0.02,0
Road Debris,Concrete,Clear,1714.9,1.69,52.86,0.381,7.3,0.435,1
Road Debris,Concrete,Overcast,1568.0,1.85,55.47,0.342,10.3,0.422,1
Normal Clear,Gravel,Rainy,136.8,0.72,11.55,0.085,0.0,0.02,0
Road Debris,Asphalt,Clear,2541.2,2.03,53.51,0.186,11.3,0.854,1
Normal Clear,Asphalt,Rainy,160.8,1.06,13.61,0.025,0.0,0.02,0
Normal Clear,Asphalt,Rainy,134.9,0.7,17.11,0.078,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,140.3,1.18,13.69,0.046,0.0,0.02,0
Surface Crack,Asphalt,Clear,1757.5,3.43,31.04,0.581,3.2,0.603,1
Surface Crack,Asphalt,Overcast,2107.4,4.03,39.41,0.775,0.6,0.3,1
Pothole,Gravel,Clear,4980.8,0.96,73.48,0.391,4.8,0.488,1
Road Debris,Asphalt,Night / Low Light,1980.3,1.67,43.08,0.244,10.3,0.613,1
Pothole,Asphalt,Clear,2582.9,1.65,92.65,0.543,6.3,0.272,1
Surface Crack,Asphalt,Clear,1167.4,5.37,40.67,0.721,1.4,0.437,1
Road Debris,Asphalt,Clear,3738.0,1.34,75.36,0.42,2.5,0.348,1
Surface Crack,Asphalt,Rainy,1396.7,4.17,50.95,0.706,3.0,0.501,1
Road Debris,Asphalt,Clear,1363.4,1.01,56.07,0.27,10.5,0.642,1
Pothole,Asphalt,Night / Low Light,3660.6,0.77,85.46,0.455,16.0,0.741,1
Pothole,Asphalt,Clear,6338.9,1.33,90.18,0.463,17.6,0.942,1
Normal Clear,Concrete,Night / Low Light,101.8,1.52,12.7,0.105,0.0,0.02,0
Surface Crack,Concrete,Overcast,2113.1,4.01,43.18,0.37,1.8,0.424,1
Pothole,Concrete,Rainy,5318.0,1.2,75.27,0.425,6.5,0.523,1
Road Debris,Asphalt,Night / Low Light,3038.3,1.88,71.06,0.366,10.2,0.52,1
Normal Clear,Concrete,Night / Low Light,73.8,0.89,11.23,0.112,0.0,0.02,0
Pothole,Concrete,Clear,3766.8,1.44,67.98,0.406,5.4,0.33,1
Road Debris,Asphalt,Overcast,3342.6,1.16,53.85,0.356,3.5,0.429,1
Pothole,Concrete,Clear,5290.4,1.27,79.94,0.466,5.5,0.464,1
Pothole,Asphalt,Rainy,4163.4,1.47,84.45,0.346,4.6,0.447,1
Road Debris,Concrete,Night / Low Light,3103.9,1.93,64.39,0.296,5.4,0.57,1
Road Debris,Gravel,Clear,2151.4,1.53,69.4,0.281,8.6,0.458,1
Road Debris,Asphalt,Clear,3494.5,1.35,67.58,0.268,5.5,0.581,1
Normal Clear,Concrete,Rainy,138.6,0.85,9.39,0.06,0.0,0.02,0
Normal Clear,Asphalt,Overcast,203.3,1.03,7.54,0.072,0.0,0.02,0
Road Debris,Gravel,Overcast,2382.1,0.64,53.03,0.343,11.1,0.486,1
Surface Crack,Asphalt,Rainy,2170.8,4.18,36.93,0.497,2.3,0.517,1
Normal Clear,Concrete,Night / Low Light,266.5,1.03,11.86,0.072,0.0,0.02,0
Pothole,Asphalt,Overcast,6029.3,0.92,79.11,0.398,9.6,0.596,1
Surface Crack,Asphalt,Clear,2431.5,1.77,46.98,0.739,3.4,0.674,1
Pothole,Asphalt,Clear,3979.7,1.39,75.83,0.497,15.7,0.685,1
Pothole,Gravel,Night / Low Light,3419.8,1.08,71.44,0.405,4.5,0.287,1
Normal Clear,Concrete,Overcast,98.4,1.13,21.13,0.063,0.0,0.02,0
Normal Clear,Concrete,Overcast,126.7,1.0,5.59,0.059,0.0,0.02,0
Normal Clear,Gravel,Clear,147.2,0.82,16.79,0.041,0.0,0.02,0
Surface Crack,Asphalt,Clear,2340.6,5.42,48.05,0.636,1.5,0.463,1
Pothole,Asphalt,Clear,5438.3,1.18,67.84,0.331,5.5,0.4,1
